frame_id,hand_id,手类型,finger_id,finger_name,node_id,node_name,x,y,z
3745,54,右手,0,拇指,1,关节1(靠近手掌),96.49,170.89,-30.73
3745,54,右手,0,拇指,2,关节2(中间),56.39,177.17,-10.13
3745,54,右手,0,拇指,3,关节3(指尖),18.44,182.45,10.40
3745,54,右手,1,食指,1,关节1(靠近手掌),34.27,186.36,-44.21
3745,54,右手,1,食指,2,关节2(中间),8.31,190.29,-31.17
3745,54,右手,1,食指,3,关节3(指尖),-18.60,192.46,-14.30
3745,54,右手,2,中指,1,关节1(靠近手掌),37.40,181.44,-59.48
3745,54,右手,2,中指,2,关节2(中间),3.90,186.89,-58.18
3745,54,右手,2,中指,3,关节3(指尖),-36.11,190.86,-48.55
3745,54,右手,3,无名指,1,关节1(靠近手掌),44.72,171.87,-75.14
3745,54,右手,3,无名指,2,关节2(中间),15.93,181.97,-78.13
3745,54,右手,3,无名指,3,关节3(指尖),-13.06,191.43,-78.21
3745,54,右手,4,小指,1,关节1(靠近手掌),54.23,161.36,-84.84
3745,54,右手,4,小指,2,关节2(中间),37.45,166.17,-98.02
3745,54,右手,4,小指,3,关节3(指尖),12.92,168.08,-110.18
3746,54,右手,0,拇指,1,关节1(靠近手掌),93.41,171.99,-27.54
3746,54,右手,0,拇指,2,关节2(中间),53.63,177.20,-5.78
3746,54,右手,0,拇指,3,关节3(指尖),16.06,181.39,15.28
3746,54,右手,1,食指,1,关节1(靠近手掌),31.12,187.84,-40.12
3746,54,右手,1,食指,2,关节2(中间),5.13,191.86,-27.47
3746,54,右手,1,食指,3,关节3(指尖),-22.69,194.22,-10.86
3746,54,右手,2,中指,1,关节1(靠近手掌),34.17,183.08,-55.42
3746,54,右手,2,中指,2,关节2(中间),0.88,188.55,-53.43
3746,54,右手,2,中指,3,关节3(指尖),-39.06,192.13,-42.70
3746,54,右手,3,无名指,1,关节1(靠近手掌),41.43,173.73,-71.24
3746,54,右手,3,无名指,2,关节2(中间),12.68,183.58,-73.05
3746,54,右手,3,无名指,3,关节3(指尖),-16.08,192.17,-71.41
3746,54,右手,4,小指,1,关节1(靠近手掌),50.92,163.30,-81.14
3746,54,右手,4,小指,2,关节2(中间),34.04,168.29,-94.25
3746,54,右手,4,小指,3,关节3(指尖),9.24,170.17,-105.45
3747,54,右手,0,拇指,1,关节1(靠近手掌),90.88,172.71,-24.55
3747,54,右手,0,拇指,2,关节2(中间),51.34,177.01,-1.92
3747,54,右手,0,拇指,3,关节3(指尖),14.01,180.14,19.28
3747,54,右手,1,食指,1,关节1(靠近手掌),28.23,188.66,-35.78
3747,54,右手,1,食指,2,关节2(中间),2.17,192.84,-23.70
3747,54,右手,1,食指,3,关节3(指尖),-26.69,195.41,-7.48
3747,54,右手,2,中指,1,关节1(靠近手掌),31.13,184.19,-51.10
3747,54,右手,2,中指,2,关节2(中间),-1.94,189.72,-48.52
3747,54,右手,2,中指,3,关节3(指尖),-42.10,193.37,-37.42
3747,54,右手,3,无名指,1,关节1(靠近手掌),38.23,175.06,-67.12
3747,54,右手,3,无名指,2,关节2(中间),9.44,184.51,-68.14
3747,54,右手,3,无名指,3,关节3(指尖),-19.14,192.04,-65.63
3747,54,右手,4,小指,1,关节1(靠近手掌),47.64,164.82,-77.34
3747,54,右手,4,小指,2,关节2(中间),30.52,170.14,-89.97
3747,54,右手,4,小指,3,关节3(指尖),5.46,172.15,-100.14
3748,54,右手,0,拇指,1,关节1(靠近手掌),88.82,173.33,-21.77
3748,54,右手,0,拇指,2,关节2(中间),49.51,176.67,1.66
3748,54,右手,0,拇指,3,关节3(指尖),12.51,178.92,23.67
3748,54,右手,1,食指,1,关节1(靠近手掌),25.90,189.18,-31.77
3748,54,右手,1,食指,2,关节2(中间),-0.16,193.46,-19.93
3748,54,右手,1,食指,3,关节3(指尖),-29.54,196.22,-3.61
3748,54,右手,2,中指,1,关节1(靠近手掌),28.60,184.96,-47.15
3748,54,右手,2,中指,2,关节2(中间),-4.26,190.60,-44.02
3748,54,右手,2,中指,3,关节3(指尖),-44.66,194.36,-32.50
3748,54,右手,3,无名指,1,关节1(靠近手掌),35.53,176.02,-63.35
3748,54,右手,3,无名指,2,关节2(中间),6.82,185.11,-63.64
3748,54,右手,3,无名指,3,关节3(指尖),-21.70,192.14,-60.56
3748,54,右手,4,小指,1,关节1(靠近手掌),44.81,165.93,-73.83
3748,54,右手,4,小指,2,关节2(中间),27.59,171.33,-86.16
3748,54,右手,4,小指,3,关节3(指尖),2.47,173.28,-95.67
3749,54,右手,0,拇指,1,关节1(靠近手掌),86.52,173.87,-19.04
3749,54,右手,0,拇指,2,关节2(中间),47.48,176.94,5.12
3749,54,右手,0,拇指,3,关节3(指尖),10.79,178.67,27.28
3749,54,右手,1,食指,1,关节1(靠近手掌),23.50,189.64,-28.08
3749,54,右手,1,食指,2,关节2(中间),-2.48,193.83,-16.53
3749,54,右手,1,食指,3,关节3(指尖),-32.08,196.55,-0.26
3749,54,右手,2,中指,1,关节1(靠近手掌),26.03,185.51,-43.45
3749,54,右手,2,中指,2,关节2(中间),-6.45,191.22,-40.24
3749,54,右手,2,中指,3,关节3(指尖),-46.88,195.00,-28.68
3749,54,右手,3,无名指,1,关节1(靠近手掌),32.79,176.69,-59.73
3749,54,右手,3,无名指,2,关节2(中间),4.06,185.56,-59.11
3749,54,右手,3,无名指,3,关节3(指尖),-24.31,192.16,-55.46
3749,54,右手,4,小指,1,关节1(靠近手掌),41.99,166.68,-70.38
3749,54,右手,4,小指,2,关节2(中间),24.53,172.01,-82.26
