frame_id,hand_id,hand_type,finger_id,finger_name,bone_name,start_x,start_y,start_z,end_x,end_y,end_z
43368,36,right,0,Thumb,Proximal,6.93,152.13,-79.14,11.50,137.79,-121.25
43368,36,right,0,Thumb,Intermediate,11.50,137.79,-121.25,11.54,131.53,-144.89
43368,36,right,0,Thumb,Distal,11.54,131.53,-144.89,9.64,128.67,-161.03
43368,36,right,1,Index,Metacarpal,-5.67,144.81,-78.19,-28.38,154.02,-142.65
43368,36,right,1,Index,Proximal,-28.38,154.02,-142.65,-41.80,151.17,-169.80
43368,36,right,1,Index,Intermediate,-41.80,151.17,-169.80,-49.60,149.13,-188.61
43368,36,right,1,Index,Distal,-49.60,149.13,-188.61,-55.53,148.59,-203.97
43368,36,right,2,Middle,Metacarpal,-13.10,146.93,-76.46,-41.50,160.10,-133.87
43368,36,right,2,Middle,Proximal,-41.50,160.10,-133.87,-63.05,155.43,-159.89
43368,36,right,2,Middle,Intermediate,-63.05,155.43,-159.89,-78.22,152.32,-179.61
43368,36,right,2,Middle,Distal,-78.22,152.32,-179.61,-88.12,151.40,-194.70
43368,36,right,3,Ring,Metacarpal,-20.53,154.20,-72.56,-52.16,170.30,-119.34
43368,36,right,3,Ring,Proximal,-52.16,170.30,-119.34,-76.39,164.55,-139.18
43368,36,right,3,Ring,Intermediate,-76.39,164.55,-139.18,-90.40,159.97,-151.91
43368,36,right,3,Ring,Distal,-90.40,159.97,-151.91,-100.05,156.83,-163.73
43368,36,right,4,Pinky,Metacarpal,-20.96,163.41,-65.79,-56.04,179.87,-103.91
43368,36,right,4,Pinky,Proximal,-56.04,179.87,-103.91,-76.21,182.97,-112.10
43368,36,right,4,Pinky,Intermediate,-76.21,182.97,-112.10,-90.66,185.51,-119.37
43368,36,right,4,Pinky,Distal,-90.66,185.51,-119.37,-99.83,187.31,-125.46
43369,36,right,0,Thumb,Metacarpal,3.27,152.64,-83.24,3.27,152.64,-83.24
43369,36,right,0,Thumb,Proximal,3.27,152.64,-83.24,7.54,138.11,-124.99
43369,36,right,0,Thumb,Intermediate,7.54,138.11,-124.99,7.43,131.47,-148.33
43369,36,right,0,Thumb,Distal,7.43,131.47,-148.33,5.47,128.37,-164.33
43369,36,right,1,Index,Metacarpal,-9.12,145.08,-81.91,-33.20,153.43,-145.72
43369,36,right,1,Index,Proximal,-33.20,153.43,-145.72,-46.92,150.14,-172.53
43369,36,right,1,Index,Intermediate,-46.92,150.14,-172.53,-54.99,147.88,-191.13
43369,36,right,1,Index,Distal,-54.99,147.88,-191.13,-61.16,147.21,-206.33
43369,36,right,2,Middle,Metacarpal,-16.54,147.13,-80.05,-46.19,159.40,-136.75
43369,36,right,2,Middle,Proximal,-46.19,159.40,-136.75,-68.19,154.39,-162.24
43369,36,right,2,Middle,Intermediate,-68.19,154.39,-162.24,-83.70,151.13,-181.58
43369,36,right,2,Middle,Distal,-83.70,151.13,-181.58,-93.81,150.13,-196.33
